NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;193;0.0000;9087;20;1.3105;31;5;1;121;72;115;3;8986;18;1018;1497
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;284.0344;134.9163;95;13289.9707;8283;1075;1.8293;37;1;17;67;28;80;28;5252;652;79;115
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;105.714;0.789269;133.9396;54.3822;4208;1770.0477;93081;43882;3.8446;453;106;66;1771;2437;1887;2420;74055;37971;60255;165038
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.046;0.780975;137.0671;55.1706;4269;1792.5476;93224;45480;3.8698;455;110;64;1805;2464;1931;2466;74176;39448;60305;168314
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;198;0.0000;9078;20;1.3333;32;5;0;123;75;117;3;8983;17;1021;1390
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;286.8747;134.9163;95;13414.9458;8295;1151;1.8112;36;1;18;68;27;81;27;5253;710;79;117
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;202;0.0000;8998;22;1.3335;33;5;0;121;81;115;4;8904;20;1010;1339
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;336.5807;146.2777;103;13696.1399;8417;1227;1.8203;40;1;20;76;27;84;27;5344;754;80;120
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;109.667;0.774964;141.5128;56.3466;4360;1803.3000;92294;47242;3.9281;483;102;67;1825;2535;1960;2537;73389;41093;59738;168282
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.459;0.772247;150.8048;59.9523;4639;1824.9340;91561;49649;4.1468;496;97;65;1950;2689;2109;2701;72698;43295;60316;179234
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;229;0.0000;8929;25;1.5129;31;4;0;137;92;130;4;8833;24;1074;1273
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;347.9421;133.4961;94;14196.0405;8799;1197;1.6043;37;1;19;67;27;75;27;5624;734;76;130
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;244;0.0000;9196;27;1.5466;37;3;0;148;96;137;4;9091;26;1136;1224
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;372.0850;149.1180;105;14224.4440;8688;1328;1.7835;36;1;19;83;22;91;22;5508;828;69;129
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.188;0.773956;160.4587;64.3592;4980;1820.6563;89225;51654;4.4569;507;104;69;2073;2907;2251;2912;70745;45098;58686;189362
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;263;0.0000;9383;29;1.5380;34;3;0;156;107;140;3;9271;27;1207;1139
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;364.9842;134.9163;95;14921.7485;9095;1412;1.5565;41;2;17;72;23;79;23;5671;882;80;141
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;132.032;0.779102;169.4664;68.5206;5302;1834.0709;88217;53700;4.7565;535;102;82;2168;3134;2384;3172;69879;46929;60459;197852
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.74;0.789376;178.2932;73.3023;5672;1824.8435;87249;53954;5.1256;556;112;82;2310;3362;2564;3392;68997;47204;60577;201480
